gf_id	category	lemma	governed_case	representative_synsets	sources	source_details	validation_status	exact_lexicon_function	alternate_lexicon_functions	flags
holle_A	A	hollë			Baseline LexiconSqi	thin_A	baseline_lexicon_exact	thin_A		lexicon_sqi_exact
i_ashper_A	A	i ashpër		01513050-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_bollshem_A	A	i bollshëm		01190683-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_caktuar_A	A	i caktuar		00940870-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_dyte_A	A	i dytë		02070030-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_famshem_A	A	i famshëm		01278080-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_forte_A	A	i fortë		01509527-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_fuqishem_A	A	i fuqishëm		01825671-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_gjalle_A	A	i gjallë		01509527-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_gjere_A	A	i gjerë		01382086-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_holle_A	A	i hollë		01455732-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_imet_A	A	i imët		01415219-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_keq_A	A	i keq		01513050-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_larte_A	A	i lartë		01488616-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_madh_A	A	i madh		02100031-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_mirenjohur_A	A	i mirënjohur		00579622-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_moshuar_A	A	i moshuar		02100031-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_mprehte_A	A	i mprehtë		00803275-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_ndryshem_A	A	i ndryshëm		00969333-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_paket_A	A	i pakët		01415219-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_palevizshem_A	A	i palëvizshëm		00740217-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_parendesishem_A	A	i parëndësishëm		01473353-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_pavlere_A	A	i pavlerë		01473353-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_pjekur_A	A	i pjekur		01488616-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_percaktuar_A	A	i përcaktuar		00740217-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_permbledhur_A	A	i përmbledhur		01442826-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_rende_A	A	i rende		01190683-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_rritur_A	A	i rritur		01488616-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_rendesishem_A	A	i rëndësishëm		01830403-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_shkurter_A	A	i shkurtër		01442826-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_shpallur_A	A	i shpallur		00940870-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_spikatur_A	A	i spikatur		00579622-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_tmerrshem_A	A	i tmerrshëm		01513050-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_vjeter_A	A	i vjetër		02100031-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_vogel_A	A	i vogël		01415219-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
i_cuditshem_A	A	i çuditshëm		00608791-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
jotradicionale_A	A	jotradicionale		00608421-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
kafe_A	A	kafe			Baseline LexiconSqi	brown_A	baseline_lexicon_exact	brown_A		lexicon_sqi_exact
kalbur_A	A	kalbur			Baseline LexiconSqi	rotten_A	baseline_lexicon_exact	rotten_A		lexicon_sqi_exact
kalter_A	A	kaltër			Baseline LexiconSqi	blue_A	baseline_lexicon_exact	blue_A		lexicon_sqi_exact
keq_A	A	keq			Baseline LexiconSqi	bad_A	baseline_lexicon_exact	bad_A		lexicon_sqi_exact
kristalizoj_A	A	kristalizoj		00656862-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
kthjelloj_A	A	kthjelloj		00656862-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
kuq_A	A	kuq			Baseline LexiconSqi	red_A	baseline_lexicon_exact	red_A		lexicon_sqi_exact
lagur_A	A	lagur			Baseline LexiconSqi	wet_A	baseline_lexicon_exact	wet_A		lexicon_sqi_exact
lemuar_A	A	lëmuar			Baseline LexiconSqi	smooth_A	baseline_lexicon_exact	smooth_A		lexicon_sqi_exact
madh_A	A	madh			Baseline LexiconSqi	big_A	baseline_lexicon_exact	big_A		lexicon_sqi_exact
mase_e_vogel_A	A	masë e vogël		01415219-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
material_A	A	material		00626800-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
me_ngjyra_A	A	me ngjyra		00394135-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
me_rendesi_A	A	me rëndësi		00579622-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
mikroskopik_A	A	mikroskopik		01391351-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
mire_A	A	mirë			Baseline LexiconSqi	good_A	baseline_lexicon_exact	good_A		lexicon_sqi_exact
mprehte_A	A	mprehtë			Baseline LexiconSqi	sharp_A	baseline_lexicon_exact	sharp_A		lexicon_sqi_exact
me_i_madh_A	A	më i madh		02100031-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
me_i_vogel_A	A	më i vogël		01415219-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
merzitshem_A	A	mërzitshëm			Baseline LexiconSqi	dull_A	baseline_lexicon_exact	dull_A		lexicon_sqi_exact
ngjyre_A	A	ngjyrë		00394135-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
ngrohte_A	A	ngrohtë			Baseline LexiconSqi	warm_A	baseline_lexicon_exact	warm_A		lexicon_sqi_exact
ngushte_A	A	ngushtë			Baseline LexiconSqi	narrow_A	baseline_lexicon_exact	narrow_A		lexicon_sqi_exact
nxehte_A	A	nxehtë			Baseline LexiconSqi	hot_A	baseline_lexicon_exact	hot_A		lexicon_sqi_exact
origjinal_A	A	origjinal		00608421-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
pasigurt_A	A	pasigurt			Baseline LexiconSqi	uncertain_A	baseline_lexicon_exact	uncertain_A		lexicon_sqi_exact
paster_A	A	pastër			Baseline LexiconSqi	clean_A	baseline_lexicon_exact	clean_A		lexicon_sqi_exact
pasues_A	A	pasues		00127948-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
pis_A	A	pis			Baseline LexiconSqi	dirty_A	baseline_lexicon_exact	dirty_A		lexicon_sqi_exact
plot_A	A	plot			Baseline LexiconSqi	full_A	baseline_lexicon_exact	full_A		lexicon_sqi_exact
ri_A	A	ri			Baseline LexiconSqi	new_A | young_A	baseline_lexicon_exact	new_A	young_A	lexicon_sqi_exact
rrumbullaket_A	A	rrumbullakët			Baseline LexiconSqi	round_A	baseline_lexicon_exact	round_A		lexicon_sqi_exact
rende_A	A	rëndë			Baseline LexiconSqi	heavy_A	baseline_lexicon_exact	heavy_A		lexicon_sqi_exact
rendesishem_A	A	rëndësishëm			Baseline LexiconSqi	important_A	baseline_lexicon_exact	important_A		lexicon_sqi_exact
sakte_A	A	saktë			Baseline LexiconSqi	correct_A	baseline_lexicon_exact	correct_A		lexicon_sqi_exact
shkurter_A	A	shkurtër			Baseline LexiconSqi	short_A	baseline_lexicon_exact	short_A		lexicon_sqi_exact
shpirtmadh_A	A	shpirtmadh		01114658-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
shquaj_A	A	shquaj		01278080-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
shume_i_rendesishem_A	A	shumë i rëndësishëm		02161982-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
shemtuar_A	A	shëmtuar			Baseline LexiconSqi	ugly_A	baseline_lexicon_exact	ugly_A		lexicon_sqi_exact
thate_A	A	thatë			Baseline LexiconSqi	dry_A	baseline_lexicon_exact	dry_A		lexicon_sqi_exact
thelbesore_A	A	thelbësore		01578312-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
themelor_A	A	themelor		01578312-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
tjeter_A	A	tjetër		00127948-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
trashe_A	A	trashë			Baseline LexiconSqi	thick_A	baseline_lexicon_exact	thick_A		lexicon_sqi_exact
verdhe_A	A	verdhë			Baseline LexiconSqi	yellow_A	baseline_lexicon_exact	yellow_A		lexicon_sqi_exact
vijues_A	A	vijues		00127948-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
vjeter_A	A	vjetër			Baseline LexiconSqi	old_A	baseline_lexicon_exact	old_A		lexicon_sqi_exact
vogel_A	A	vogël			Baseline LexiconSqi	small_A	baseline_lexicon_exact	small_A		lexicon_sqi_exact
zgjuar_A	A	zgjuar			Baseline LexiconSqi	clever_A	baseline_lexicon_exact	clever_A		lexicon_sqi_exact
zhvillim_A	A	zhvillim		01488616-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
zi_A	A	zi			Baseline LexiconSqi	black_A	baseline_lexicon_exact	black_A		lexicon_sqi_exact
martuar_A2	A2	martuar			Baseline LexiconSqi	married_A2	baseline_lexicon_exact	married_A2		lexicon_sqi_exact
lehte_A2V	A2V	lehtë			Baseline LexiconSqi	easy_A2V	baseline_lexicon_exact	easy_A2V		lexicon_sqi_exact
mundshem_AS	AS	mundshëm			Baseline LexiconSqi	probable_AS	baseline_lexicon_exact	probable_AS		lexicon_sqi_exact
zbavites_AV	AV	zbavitës			Baseline LexiconSqi	fun_AV	baseline_lexicon_exact	fun_AV		lexicon_sqi_exact
bashke_Adv	Adv	bashkë			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
edhe_Adv	Adv	edhe			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
gjithmone_Adv	Adv	gjithmonë			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
gjithemone_Adv	Adv	gjithëmonë			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
kur_Adv	Adv	kur			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
ketu_Adv	Adv	këtu			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
larg_Adv	Adv	larg			Baseline LexiconSqi	far_Adv	baseline_lexicon_exact	far_Adv		lexicon_sqi_exact
mos_Adv	Adv	mos			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
me_Adv	Adv	më			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
nuk_Adv	Adv	nuk			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
para_Adv	Adv	para			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
plot_Adv	Adv	plot			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
perkundrazi_Adv	Adv	përkundrazi			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
sa_Adv	Adv	sa			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
sot_Adv	Adv	sot			UT Austin Tosk Glossary | Baseline LexiconSqi	adverb; | today_Adv	baseline_lexicon_exact	today_Adv		functional_reference,lexicon_sqi_exact
taman_Adv	Adv	taman			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
tani_Adv	Adv	tani			UT Austin Tosk Glossary | Baseline LexiconSqi	adverb; | now_Adv	baseline_lexicon_exact	now_Adv		functional_reference,lexicon_sqi_exact
tashme_Adv	Adv	tashmë			Baseline LexiconSqi	already_Adv	baseline_lexicon_exact	already_Adv		lexicon_sqi_exact
vetem_Adv	Adv	vetëm			UT Austin Tosk Glossary	adverb;	reference_attested_unreviewed			functional_reference
dhe_Conj	Conj	dhe			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
e_Conj	Conj	e			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
ose_Conj	Conj	ose			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
por_Conj	Conj	por			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
pra_Conj	Conj	pra			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
qe_Conj	Conj	që			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
sa_Conj	Conj	sa			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
se_Conj	Conj	se			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
sepse_Conj	Conj	sepse			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
si_Conj	Conj	si			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
sikur_Conj	Conj	sikur			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
t_i_Conj	Conj	t'i			UT Austin Tosk Glossary	"conjunction;
            contraction of"	reference_attested_unreviewed			functional_reference
t_ia_Conj	Conj	t'ia			UT Austin Tosk Glossary	"conjunction;
            contraction of"	reference_attested_unreviewed			functional_reference
t_ju_Conj	Conj	t'ju			UT Austin Tosk Glossary	"conjunction;
            contraction of"	reference_attested_unreviewed			functional_reference
ta_Conj	Conj	ta			UT Austin Tosk Glossary	"conjunction;
            contraction of"	reference_attested_unreviewed			functional_reference
te_Conj	Conj	të			UT Austin Tosk Glossary	conjunction;	reference_attested_unreviewed			functional_reference
medet_Interj	Interj	medet			Baseline LexiconSqi	alas_Interj	baseline_lexicon_exact	alas_Interj		lexicon_sqi_exact
o_Interj	Interj	o			UT Austin Tosk Glossary	interjection;	reference_attested_unreviewed			functional_reference
w_24ore_N	N	24orë		15155220-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
w_60_minuta_N	N	60 minuta		15227846-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
abazhure_N	N	abazhurë		03636649-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
abonim_N	N	abonim		06582403-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
abstraksion_N	N	abstraksion		00002137-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
abstrakt_N	N	abstrakt		05854150-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
absurditet_N	N	absurditet		04891683-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
abuzim_N	N	abuzim		00419908-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
acid_N	N	acid		14607521-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
adapt_N	N	adapt		09762509-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
adet_N	N	adet		00413239-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
administrator_N	N	administrator		09770949-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
administrator_akademik_N	N	administrator akademik		09758885-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
administrim_N	N	administrim		08164585-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
admirim_N	N	admirim		07491038-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
adrese_N	N	adresë		07238694-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aerodrom_N	N	aerodrom		02692232-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aerodrom_i_vogel_N	N	aerodrom i vogël		02687992-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aerofit_N	N	aerofit		13122985-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aeroplan_N	N	aeroplan		02691156-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | airplane_N	baseline_lexicon_exact	airplane_N		lexicon_sqi_exact,pos_from_wordnet
aeroport_N	N	aeroport		02692232-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
afat_N	N	afat		15224486-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
afat_i_fundit_N	N	afat i fundit		15180082-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
afeksion_N	N	afeksion		07544647-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
afishe_N	N	afishe		06793426-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aftesi_N	N	aftësi		05200169-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aftesi_drejtimi_N	N	aftësi drejtimi		00815320-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aftesi_mendore_N	N	aftësi mendore		05618056-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aftesi_ndijor_N	N	aftësi ndijor		05651971-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aftesi_njohese_N	N	aftësi njohëse		00023271-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
afersi_N	N	afërsi		08641113-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
agate_line_N	N	agate line		13713003-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
agim_N	N	agim		07326108-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
agjenci_N	N	agjenci		08337324-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
agjenci_federale_N	N	agjenci federale		08337324-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
agjenci_shteterore_N	N	agjenci shtetërore		08337324-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
agjensi_N	N	agjensi		08057206-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
agjent_N	N	agjent		09777012-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
agjent_bastesh_N	N	agjent bastesh		09865954-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
agjent_i_ceshtjeve_gjyqesore_N	N	agjent i çështjeve gjyqësorë		00007347-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
agjent_policor_N	N	agjent policor		10373801-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
agjent_sekret_N	N	agjent sekret		10641755-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
agresiv_N	N	agresiv		00964569-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
agrikulrure_N	N	agrikulrurë		00916464-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
ajer_N	N	ajër		14842703-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
akademik_N	N	akademik		09759069-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
akord_N	N	akord		13969243-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aksident_N	N	aksident		07300960-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aksident_i_pashmangshem_N	N	aksident i pashmangshëm		07315350-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aksion_N	N	aksion		00037396-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aksion_ne_grup_N	N	aksion në grup		01080366-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aksion_ushtarak_N	N	aksion ushtarak		00952963-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
akt_N	N	akt		00037396-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
akt_heroik_N	N	akt heroik		00036762-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
akt_i_nje_hyjnie_N	N	akt i një hyjnie		07315350-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
akti_i_te_folurit_N	N	akti i te folurit		07160883-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aktivist_N	N	aktivist		14006945-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aktivitet_N	N	aktivitet		00407535-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aktivitet_biznesi_N	N	aktivitet biznesi		01095753-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aktivitet_i_trurit_N	N	aktivitet i trurit		05770926-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aktivitet_ndijor_N	N	aktivitet ndijor		00876737-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aktivitet_seksual_N	N	aktivitet seksual		00844254-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aktiviteti_njerezor_N	N	aktiviteti njerëzor		00030358-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aktor_N	N	aktor		09765278-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
aktor_spontan_N	N	aktor spontan		10438470-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
aktrim_N	N	aktrim		00548326-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
